id_candle,id_ativo,dt_registro,open,close,high,low,volume,tempo_grafico
"679637","8","2019-04-05 17:50:00","3878.50000","3880.50000","3880.50000","3878.00000","182.00000","5"
"679638","8","2019-04-05 17:45:00","3880.00000","3879.00000","3880.00000","3878.00000","219.00000","5"
"679639","8","2019-04-05 17:40:00","3878.50000","3879.00000","3879.50000","3878.00000","244.00000","5"
"679640","8","2019-04-05 17:35:00","3879.00000","3878.50000","3880.00000","3878.50000","103.00000","5"
"679641","8","2019-04-05 17:30:00","3879.00000","3879.50000","3879.50000","3878.00000","277.00000","5"
"679642","8","2019-04-05 17:25:00","3882.00000","3879.50000","3882.50000","3879.00000","163.00000","5"
"679643","8","2019-04-05 17:20:00","3880.50000","3881.50000","3882.00000","3880.50000","128.00000","5"
"679644","8","2019-04-05 17:15:00","3881.00000","3881.00000","3882.00000","3880.00000","217.00000","5"
"679645","8","2019-04-05 17:10:00","3880.00000","3881.50000","3883.50000","3879.50000","337.00000","5"
"679646","8","2019-04-05 17:05:00","3879.00000","3880.00000","3880.00000","3878.50000","188.00000","5"
"679647","8","2019-04-05 17:00:00","3878.50000","3878.00000","3879.00000","3878.00000","74.00000","5"
"679648","8","2019-04-05 16:55:00","3878.50000","3878.00000","3880.50000","3878.00000","321.00000","5"
"679649","8","2019-04-05 16:50:00","3877.50000","3878.50000","3880.00000","3877.50000","104.00000","5"
"679650","8","2019-04-05 16:45:00","3875.50000","3877.50000","3878.50000","3875.00000","219.00000","5"
"679651","8","2019-04-05 16:40:00","3874.00000","3875.50000","3876.00000","3874.00000","148.00000","5"
"679652","8","2019-04-05 16:35:00","3875.00000","3874.50000","3875.50000","3873.50000","77.00000","5"
"679653","8","2019-04-05 16:30:00","3875.50000","3874.50000","3876.50000","3874.00000","96.00000","5"
"679654","8","2019-04-05 16:25:00","3875.00000","3874.50000","3875.50000","3874.00000","198.00000","5"
"679655","8","2019-04-05 16:20:00","3875.50000","3875.00000","3876.50000","3875.00000","211.00000","5"
"679656","8","2019-04-05 16:15:00","3873.50000","3875.00000","3875.00000","3873.50000","48.00000","5"
"679657","8","2019-04-05 16:10:00","3874.50000","3873.50000","3874.50000","3873.50000","77.00000","5"
"679658","8","2019-04-05 16:05:00","3872.00000","3874.00000","3874.50000","3872.00000","82.00000","5"
"679659","8","2019-04-05 16:00:00","3872.50000","3872.00000","3872.50000","3871.00000","61.00000","5"
"679660","8","2019-04-05 15:55:00","3871.50000","3872.00000","3873.00000","3871.00000","121.00000","5"
"679661","8","2019-04-05 15:50:00","3870.50000","3871.00000","3872.00000","3870.00000","79.00000","5"
"679662","8","2019-04-05 15:45:00","3871.50000","3871.00000","3872.00000","3870.00000","30.00000","5"
"679663","8","2019-04-05 15:40:00","3870.50000","3871.00000","3871.50000","3870.00000","103.00000","5"
"679664","8","2019-04-05 15:35:00","3871.50000","3870.00000","3872.00000","3870.00000","139.00000","5"
"679665","8","2019-04-05 15:30:00","3872.50000","3871.50000","3873.00000","3871.00000","122.00000","5"
"679666","8","2019-04-05 15:25:00","3870.50000","3872.00000","3872.50000","3870.00000","134.00000","5"
"679667","8","2019-04-05 15:20:00","3870.50000","3869.00000","3871.00000","3868.00000","190.00000","5"
"679668","8","2019-04-05 15:15:00","3869.50000","3871.00000","3871.50000","3869.00000","165.00000","5"
"679669","8","2019-04-05 15:10:00","3873.00000","3870.50000","3874.00000","3869.50000","396.00000","5"
"679670","8","2019-04-05 15:05:00","3871.00000","3874.00000","3875.00000","3870.50000","145.00000","5"
"679671","8","2019-04-05 15:00:00","3871.50000","3870.50000","3874.00000","3870.00000","222.00000","5"
"679672","8","2019-04-05 14:55:00","3870.50000","3871.50000","3872.50000","3870.00000","334.00000","5"
"679673","8","2019-04-05 14:50:00","3867.50000","3870.00000","3870.50000","3867.50000","117.00000","5"
"679674","8","2019-04-05 14:45:00","3869.00000","3868.50000","3869.50000","3868.00000","116.00000","5"
"679675","8","2019-04-05 14:40:00","3867.50000","3869.50000","3871.00000","3865.50000","253.00000","5"
"679676","8","2019-04-05 14:35:00","3867.50000","3867.50000","3868.50000","3865.50000","291.00000","5"
"679677","8","2019-04-05 14:30:00","3867.00000","3866.50000","3868.00000","3865.50000","336.00000","5"
"679678","8","2019-04-05 14:25:00","3869.00000","3867.50000","3869.50000","3867.00000","220.00000","5"
"679679","8","2019-04-05 14:20:00","3869.00000","3869.50000","3871.50000","3868.50000","139.00000","5"
"679680","8","2019-04-05 14:15:00","3871.50000","3869.50000","3871.50000","3869.00000","114.00000","5"
"679681","8","2019-04-05 14:10:00","3872.50000","3871.00000","3873.00000","3870.50000","147.00000","5"
"679682","8","2019-04-05 14:05:00","3874.00000","3873.00000","3876.50000","3872.00000","407.00000","5"
"679683","8","2019-04-05 14:00:00","3872.00000","3874.50000","3875.00000","3871.00000","135.00000","5"
"679684","8","2019-04-05 13:55:00","3869.00000","3871.50000","3872.00000","3869.00000","161.00000","5"
"679685","8","2019-04-05 13:50:00","3868.00000","3869.00000","3869.50000","3867.00000","51.00000","5"
"679686","8","2019-04-05 13:45:00","3869.00000","3867.50000","3869.50000","3867.50000","128.00000","5"
"679687","8","2019-04-05 13:40:00","3868.50000","3869.00000","3869.00000","3867.00000","47.00000","5"
"679688","8","2019-04-05 13:35:00","3868.50000","3868.00000","3868.50000","3867.50000","79.00000","5"
"679689","8","2019-04-05 13:30:00","3867.00000","3867.50000","3868.50000","3865.50000","306.00000","5"
"679690","8","2019-04-05 13:25:00","3870.00000","3867.00000","3871.00000","3867.00000","415.00000","5"
"679691","8","2019-04-05 13:20:00","3869.50000","3870.50000","3871.50000","3869.00000","104.00000","5"
"679692","8","2019-04-05 13:15:00","3870.50000","3870.00000","3871.00000","3869.00000","106.00000","5"
"679693","8","2019-04-05 13:10:00","3871.00000","3871.00000","3872.00000","3870.50000","86.00000","5"
"679694","8","2019-04-05 13:05:00","3867.50000","3872.00000","3872.50000","3867.00000","129.00000","5"
"679695","8","2019-04-05 13:00:00","3869.50000","3868.00000","3871.00000","3867.00000","219.00000","5"
